top-1 output,BFA iteration
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
3,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
3,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
4,17
