top-1 output,BFA iteration
0,28
4,28
0,28
2,28
3,28
4,28
3,28
4,28
2,28
0,28
2,28
2,28
2,28
2,28
0,28
2,28
0,28
2,28
3,28
0,28
0,28
3,28
3,28
2,28
4,28
2,28
2,28
3,28
0,28
4,28
4,28
4,28
2,28
3,28
0,28
4,28
0,28
2,28
3,28
0,28
2,28
4,28
4,28
4,28
4,28
3,28
2,28
4,28
3,28
0,28
0,28
2,28
4,28
0,28
0,28
0,28
2,28
0,28
3,28
0,28
3,28
3,28
4,28
0,28
4,28
2,28
4,28
3,28
3,28
4,28
4,28
2,28
0,28
4,28
3,28
2,28
3,28
0,28
3,28
0,28
2,28
4,28
2,28
4,28
0,28
4,28
4,28
2,28
3,28
3,28
4,28
4,28
2,28
4,28
4,28
4,28
3,28
2,28
0,28
2,28
4,28
3,28
2,28
4,28
0,28
4,28
3,28
3,28
0,28
2,28
4,28
4,28
4,28
4,28
4,28
4,28
4,28
2,28
3,28
4,28
0,28
0,28
4,28
3,28
2,28
2,28
3,28
0,28
3,28
0,28
4,28
2,28
2,28
3,28
4,28
4,28
0,28
2,28
2,28
2,28
0,28
2,28
2,28
4,28
0,28
0,28
4,28
0,28
4,28
4,28
2,28
0,28
4,28
2,28
2,28
4,28
2,28
0,28
3,28
3,28
0,28
4,28
2,28
4,28
3,28
4,28
0,28
4,28
2,28
2,28
2,28
2,28
2,28
4,28
4,28
4,28
4,28
4,28
4,28
4,28
4,28
3,28
2,28
3,28
2,28
0,28
0,28
0,28
4,28
3,28
2,28
2,28
0,28
3,28
3,28
4,28
3,28
4,28
4,28
0,28
2,28
3,28
2,28
3,28
0,28
3,28
0,28
4,28
4,28
4,28
2,28
0,28
2,28
4,28
4,28
3,28
4,28
0,28
3,28
3,28
0,28
4,28
0,28
4,28
4,28
0,28
4,28
4,28
0,28
3,28
0,28
4,28
4,28
4,28
4,28
4,28
4,28
0,28
3,28
2,28
0,28
3,28
0,28
3,28
2,28
0,28
4,28
2,28
0,28
2,28
4,28
2,28
2,28
4,28
3,28
2,28
2,28
4,28
2,28
3,28
2,28
4,28
3,28
4,28
3,28
4,28
4,28
0,28
2,28
0,28
4,28
0,28
4,28
0,28
0,28
0,28
0,28
2,28
0,28
0,28
2,28
4,28
3,28
4,28
2,28
3,28
2,28
4,28
0,28
4,28
3,28
0,28
4,28
0,28
3,28
4,28
4,28
4,28
4,28
0,28
4,28
0,28
4,28
4,28
4,28
2,28
4,28
2,28
0,28
0,28
2,28
2,28
2,28
0,28
4,28
4,28
0,28
0,28
4,28
4,28
0,28
2,28
2,28
0,28
3,28
3,28
0,28
4,28
2,28
0,28
4,28
2,28
2,28
0,28
2,28
3,28
3,28
0,28
4,28
2,28
2,28
2,28
4,28
3,28
4,28
2,28
4,28
0,28
3,28
3,28
3,28
4,28
2,28
4,28
2,28
3,28
0,28
0,28
3,28
3,28
3,28
4,28
0,28
0,28
4,28
2,28
4,28
4,28
0,28
0,28
0,28
0,28
4,28
4,28
4,28
4,28
0,28
3,28
2,28
0,28
2,28
2,28
4,28
2,28
4,28
3,28
2,28
4,28
4,28
0,28
2,28
3,28
0,28
2,28
2,28
2,28
3,28
3,28
2,28
4,28
0,28
2,28
2,28
0,28
2,28
3,28
4,28
0,28
2,28
4,28
2,28
0,28
0,28
4,28
0,28
2,28
2,28
2,28
2,28
0,28
0,28
4,28
3,28
2,28
0,28
0,28
4,28
2,28
3,28
4,28
3,28
4,28
2,28
4,28
2,28
4,28
0,28
2,28
0,28
4,28
0,28
3,28
0,28
0,28
4,28
0,28
3,28
3,28
0,28
3,28
4,28
0,28
4,28
0,28
2,28
3,28
3,28
4,28
3,28
0,28
0,28
0,28
0,28
0,28
0,28
3,28
0,28
0,28
0,28
0,28
3,28
2,28
2,28
2,28
4,28
3,28
4,28
4,28
2,28
3,28
2,28
3,28
2,28
2,28
3,28
0,28
4,28
4,28
2,28
0,28
2,28
4,28
3,28
2,28
0,28
3,28
4,28
0,28
4,28
4,28
0,28
4,28
4,28
2,28
0,28
4,28
2,28
3,28
3,28
0,28
3,28
3,28
2,28
0,28
2,28
2,28
4,28
4,28
0,28
0,28
4,28
2,28
3,28
4,28
4,28
0,28
2,28
0,28
0,28
4,28
4,28
4,28
3,28
2,28
0,28
4,28
4,28
4,28
4,28
0,28
4,28
4,28
0,28
0,28
2,28
0,28
4,28
3,28
4,28
4,28
2,28
2,28
2,28
4,28
0,28
3,28
3,28
4,28
4,28
3,28
3,28
0,28
4,28
4,28
2,28
3,28
4,28
0,28
3,28
0,28
4,28
3,28
0,28
0,28
4,28
4,28
2,28
4,28
2,28
2,28
4,28
4,28
2,28
2,28
0,28
2,28
2,28
0,28
4,28
0,28
4,28
2,28
4,28
4,28
0,28
3,28
3,28
2,28
0,28
4,28
2,28
4,28
2,28
2,28
4,28
2,28
4,28
4,28
4,28
4,28
4,28
0,28
2,28
4,28
2,28
3,28
2,28
2,28
2,28
0,28
3,28
3,28
3,28
0,28
4,28
4,28
4,28
4,28
4,28
2,28
3,28
3,28
3,28
3,28
4,28
0,28
4,28
3,28
3,28
4,28
2,28
0,28
2,28
0,28
0,28
2,28
0,28
2,28
0,28
2,28
4,28
2,28
0,28
0,28
3,28
2,28
4,28
2,28
0,28
2,28
4,28
0,28
0,28
4,28
2,28
0,28
3,28
0,28
2,28
4,28
2,28
0,28
4,28
0,28
3,28
4,28
4,28
4,28
3,28
2,28
3,28
4,28
2,28
2,28
4,28
2,28
4,28
4,28
3,28
4,28
2,28
2,28
0,28
4,28
2,28
4,28
3,28
3,28
0,28
3,28
2,28
0,28
2,28
4,28
2,28
3,28
4,28
4,28
4,28
4,28
3,28
2,28
2,28
3,28
0,28
2,28
0,28
0,28
2,28
3,28
4,28
4,28
4,28
0,28
3,28
4,28
0,28
0,28
3,28
3,28
4,28
2,28
2,28
2,28
4,28
3,28
4,28
2,28
2,28
3,28
4,28
2,28
2,28
2,28
3,28
2,28
3,28
0,28
4,28
3,28
3,28
0,28
4,28
4,28
3,28
2,28
0,28
0,28
4,28
4,28
4,28
4,28
0,28
3,28
0,28
2,28
4,28
0,28
2,28
4,28
4,28
2,28
2,28
0,28
3,28
0,28
4,28
4,28
3,28
4,28
0,28
2,28
0,28
0,28
0,28
4,28
3,28
4,28
4,28
4,28
3,28
0,28
3,28
0,28
4,28
0,28
0,28
4,28
3,28
3,28
0,28
4,28
0,28
3,28
3,28
3,28
2,28
4,28
4,28
4,28
2,28
3,28
0,28
4,28
3,28
3,28
2,28
2,28
3,28
4,28
0,28
4,28
4,28
2,28
3,28
0,28
2,28
4,28
4,28
0,28
2,28
3,28
4,28
0,28
0,28
4,28
4,28
2,28
0,28
2,28
4,28
0,28
3,28
4,28
4,28
2,28
3,28
3,28
2,28
4,28
2,28
3,28
3,28
2,28
2,28
0,28
2,28
0,28
4,28
0,28
4,28
3,28
0,28
4,28
3,28
2,28
4,28
3,28
4,28
4,28
0,28
0,28
2,28
4,28
0,28
2,28
0,28
4,28
4,28
3,28
2,28
4,28
4,28
3,28
4,28
3,28
0,28
4,28
4,28
3,28
4,28
4,28
3,28
4,28
0,28
4,28
4,28
0,28
4,28
2,28
3,28
3,28
2,28
4,28
0,28
0,28
4,28
4,28
0,28
3,28
4,28
0,28
4,28
4,28
0,28
3,28
4,28
4,28
4,28
2,28
3,28
0,28
4,28
2,28
4,28
4,28
2,28
4,28
2,28
2,28
2,28
4,28
4,28
0,28
4,28
0,28
0,28
0,28
3,28
3,28
0,28
0,28
0,28
4,28
4,28
4,28
4,28
2,28
0,28
4,28
4,28
2,28
2,28
3,28
3,28
0,28
4,28
2,28
4,28
2,28
0,28
0,28
3,28
3,28
0,28
2,28
4,28
4,28
4,28
4,28
0,28
4,28
4,28
3,28
4,28
3,28
4,28
0,28
4,28
3,28
3,28
4,28
3,28
0,28
4,28
4,28
2,28
2,28
4,28
4,28
3,28
4,28
3,28
0,28
4,28
4,28
3,28
3,28
4,28
4,28
0,28
2,28
4,28
0,28
4,28
0,28
2,28
2,28
0,28
4,28
2,28
0,28
0,28
3,28
4,28
3,28
4,28
0,28
4,28
4,28
0,28
2,28
3,28
0,28
4,28
3,28
2,28
4,28
0,28
2,28
4,28
0,28
4,28
2,28
4,28
4,28
3,28
4,28
2,28
3,28
3,28
4,28
2,28
0,28
2,28
4,28
3,28
3,28
0,28
3,28
0,28
4,28
4,28
4,28
4,28
4,28
4,28
3,28
4,28
4,28
4,28
0,28
3,28
2,28
4,28
2,28
2,28
4,28
0,28
4,28
3,28
0,28
3,28
0,28
0,28
2,28
0,28
0,28
0,28
3,28
4,28
4,28
0,28
4,28
2,28
4,28
0,28
4,28
0,28
4,28
2,28
0,28
2,28
4,28
4,28
4,28
4,28
2,28
3,28
0,28
4,28
4,28
2,28
4,28
4,28
2,28
2,28
2,28
0,28
4,28
0,28
0,28
3,28
0,28
4,28
0,28
2,28
4,28
4,28
4,28
4,28
0,28
3,28
4,28
3,28
3,28
4,28
4,28
3,28
4,28
0,28
2,28
0,28
2,28
4,28
4,28
0,28
3,28
4,28
2,28
4,28
4,28
3,28
4,28
4,28
4,28
2,28
2,28
3,28
0,28
4,28
0,28
4,28
2,28
0,28
0,28
0,28
3,28
0,28
3,28
4,28
4,28
3,28
3,28
0,28
4,28
0,28
2,28
3,28
4,28
2,28
3,28
4,28
3,28
3,28
0,28
2,28
2,28
0,28
0,28
2,28
4,28
4,28
3,28
4,28
2,28
4,28
3,28
4,28
4,28
2,28
3,28
3,28
3,28
0,28
4,28
4,28
2,28
2,28
2,28
4,28
2,28
2,28
2,28
2,28
4,28
0,28
0,28
4,28
2,28
4,28
0,28
4,28
0,28
3,28
3,28
3,28
0,28
3,28
4,28
0,28
4,28
3,28
2,28
4,28
4,28
0,28
4,28
4,28
3,28
3,28
4,28
4,28
0,28
2,28
0,28
4,28
2,28
0,28
0,28
0,28
4,28
0,28
0,28
3,28
4,28
3,28
2,28
4,28
4,28
3,28
3,28
2,28
2,28
0,28
0,28
3,28
0,28
0,28
4,28
3,28
3,28
0,28
4,28
2,28
2,28
4,28
4,28
0,28
0,28
3,28
4,28
2,28
0,28
2,28
0,28
2,28
3,28
4,28
3,28
3,28
2,28
2,28
4,28
2,28
4,28
4,28
0,28
3,28
4,28
4,28
2,28
4,28
3,28
4,28
0,28
4,28
4,28
0,28
2,28
0,28
3,28
0,28
4,28
2,28
4,28
3,28
2,28
4,28
3,28
2,28
4,28
2,28
0,28
4,28
4,28
0,28
3,28
4,28
4,28
2,28
4,28
4,28
0,28
0,28
0,28
4,28
2,28
4,28
2,28
3,28
4,28
3,28
3,28
2,28
3,28
0,28
0,28
0,28
4,28
2,28
2,28
4,28
2,28
2,28
3,28
0,28
4,28
4,28
2,28
2,28
3,28
4,28
3,28
4,28
4,28
3,28
3,28
3,28
3,28
0,28
2,28
2,28
2,28
4,28
3,28
0,28
2,28
4,28
3,28
2,28
3,28
0,28
4,28
2,28
4,28
0,28
4,28
4,28
0,28
2,28
0,28
0,28
3,28
4,28
3,28
4,28
2,28
4,28
3,28
2,28
0,28
0,28
4,28
0,28
0,28
4,28
4,28
0,28
0,28
4,28
2,28
0,28
3,28
3,28
4,28
4,28
4,28
4,28
4,28
4,28
2,28
0,28
0,28
0,28
0,28
2,28
2,28
3,28
2,28
4,28
0,28
0,28
3,28
4,28
4,28
3,28
2,28
0,28
4,28
0,28
2,28
3,28
3,28
3,28
3,28
3,28
4,28
2,28
0,28
3,28
4,28
4,28
2,28
3,28
0,28
0,28
0,28
4,28
3,28
4,28
3,28
0,28
0,28
4,28
3,28
0,28
0,28
4,28
4,28
0,28
0,28
4,28
0,28
0,28
4,28
0,28
4,28
0,28
0,28
4,28
2,28
4,28
4,28
4,28
4,28
0,28
0,28
2,28
0,28
0,28
2,28
3,28
2,28
0,28
3,28
4,28
0,28
0,28
3,28
2,28
4,28
0,28
2,28
4,28
4,28
2,28
4,28
3,28
4,28
3,28
4,28
4,28
2,28
3,28
4,28
2,28
